label,title,description
4,Web-apps are the legacy apps of the future.,"  Back in the days of stone knives and bearskins applications were  things that were written in cretinous languages like COBOL that  ran on wierd 71 bit architectures and used messed up file formats like  JCL and VSAM files or whatever.  What's a 'Data Division'?  Some whiny  80s band from Manchester?      Of course today we are so much  smarter.  If you look at the evolution, from ML, to branched languages  to structured programming to OOP, and from 3270 applications, to PC  apps to client server to web apps, you can clearly see how the  applications programmer transformed himself from knuckle dragging  simian to homo sapiens. That's the stereotype, right?    We have a name for all that old stuff, a pejorative name:  'legacy'.1   I'm here to tell you that the web application is the new  legacy.  "
4,Russia Combines Oil and Gas (The Motley Fool),"The Motley Fool - The invention of the American depositary receipt (ADR) was both a boon and a curse to U.S. investors. On the one hand, when foreign companies list their shares on U.S. exchanges, they make it a heck of a lot easier for the average investor to buy a piece of Nokia (NYSE: NOK - News), Cable  amp; Wireless (NYSE: CWP - News), or SAP AG (NYSE: SAP - News) than it would have been if she had to figure out how to buy shares on the Helsinki, London, or Munich stock exchanges. But on the other hand, there are the -- to put it politely -- ""inefficiencies"" of buying ADRs."
4,"Microsoft hypes BI, adds reporting tools for end users","Microsoft unveiled plans Wednesday to integrate business intelligence reporting into the next version of SQL Server, placing new reporting tools in the hands of end users."
2,"Twins, veteran Radke agree to two-year deal","The Minnesota Twins agreed to a two-year contract with veteran right-hander Brad Radke, and offered arbitration to third baseman Corey Koskie, left-hander Terry Mulholland and catcher Henry Blanco, the team announced late Tuesday."
2,Coulthard tests for Red Bull,"David Coulthard's Formula One prospects have received a boost with news of a test with the Red Bull team at Jerez in Spain. Coulthard, who has no confirmed seat for 2005 after "
3,Opec  ready with spare capacity ,The oil ministers of Opec heavyweights Saudi Arabia and Kuwait have pledged to maintain output after prices hit new peaks at the end of last week.
2,Garcia has heard enough of Owens,Cleveland Browns quarterback Jeff Garcia said Wednesday that he does not consider Terrell Owens an  quot;enemy of mine quot; even though the Philadelphia Eagles wide receiver repeatedly has criticized his former teammate.
4,Nokia and Land Rover offfer advanced handsfree solution,"Nokia and Land Rover have jointly developed a Personal Telephone Integration (PTI) System, an integrated automotive communications solution for Land Rover vehicles such as the new Discovery 3 and Range Rover."
4,Toshiba to use perpendicular recording in new drives,"DECEMBER 14, 2004 (IDG NEWS SERVICE) - Toshiba Corp. said today that it is close to commercializing a new data storage technology that could significantly increase the capacity of hard disk drives."
4,Radical fabric is one atom thick,"A new class of material, which brings computer chips made from a single molecule a step closer, has been discovered by scientists."
2,No. 23 Arizona St. Squeaks Past Stanford ,AP - Andrew Walter threw four yards to Matt Miller  #151; his fourth touchdown pass of the night  #151; with nine seconds to play Saturday to give No. 23 Arizona State a wild 34-31 victory over Stanford.
4,EMC hires ex-IBM grid guru for CTO role,"EMC has appointed Jeff Nick, the former chief architect of IBM's grid computing initiative, as its senior vice-president and chief technology officer (CTO)."
3,Stocks Edge Lower As Oil Prices Climb,Stocks edged lower Wednesday as investors weighed rising oil prices against a pair of government reports that gave a mixed picture about the economy.
1,British Troops Raid Rebel Stronghold South of Baghdad,Hundreds of British troops raided houses of suspected Saddam Hussein loyalists Thursday in the latest phase of a US-led operation to crack down on guerrilla strongholds in the lawless territory south of Baghdad.
1,I was abysmal: Keane ,AFP - Manchester United skipper Roy Keane has described his performance in the 2-2 Champions League draw with Lyon in midweek as 'abysmal'.
1,Africa and its children,"ALERE, Uganda -- Kasmiro Bongonyinge remembers sitting up suddenly in his bed. It was just after sunrise on a summer morning two years ago, and the old man, 87 years old and blind, knew something was wrong."
2,Park uses late rally to take lead at Wachovia Classic,Grace Park closed with an eagle and two birdies for a 7-under-par 65 and a two-stroke lead after three rounds of the Wachovia LPGA Classic on Saturday.
1,Pak for strategic stability with India: Pervez,"Gen Musharraf regretted that while the Islamic world was moving towards reforms, the West was not trying to resolve disputes affecting the Muslim world."
3,Export Support for German Recovery Slips ,"AP - German exports fell slightly in August, the government's statistics agency said Friday, in a sign that the strong support from exports for the country's budding recovery is beginning to ease."
1,Bush goal: Palestinian nation,"President George W. Bush pledged Friday to spend some of the political capital from his re-election trying to secure a lasting Middle East peace, and he envisioned the establishment "
2,Stewart Backs Earnhardt on NASCAR Penalty ,"AP - Tony Stewart took a verbal swipe at NASCAR on Saturday, insisting friend and competitor Dale Earnhardt Jr. should not have lost points for cursing during a live TV interview last weekend."
3,First Enron Criminal Case Set for Trial (Reuters),"Reuters - Nearly three years after Enron Corp.'s\ dramatic collapse into bankruptcy, the first\criminal trial against the disgraced energy company's former\employees is set to kick off on Monday."
2,Beckham Breaks Rib As England Tops Wales ,"AP - David Beckham scored a spectacular goal on a curling, 25-yard shot to lead England past Wales 2-0 in a World Cup qualifier Saturday, but he wound up with a suspension and broken rib."
1,Iraq rebels stage fresh attacks,Insurgents have mounted fresh attacks in Baghdad and a US-Lebanese contractor has become the latest victim of a kidnapping spree in the run-up to a threatened US assault on rebel-held Falluja and Ramadi.
3,Indian outsource firm joins MIT study project ,"CAMBRIDGE -- At a sponsors' meeting of MIT Sloan School's Center for Information Systems Research this week, there was a new project on the research agenda: outsourcing."
2,"Empty stadium won't affect Real, says Samuel",Walter Samuel says Real Madrid will not be affected by playing their decisive Champions League match against AS Roma behind closed doors at Rome's Olympic Stadium on Wednesday.
3,Homebuilder Toll Up 4 Pct on Forecast," CHICAGO (Reuters) - Luxury homebuilder Toll Brothers Inc.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=TOL.N target=/stocks/quickinfo/fullquote""&gt;TOL.N&lt;/A&gt; on Tuesday reported record fourth-quarter homebuilding  sales and backlog, citing a growing population of affluent  buyers."
3,Column: M A Rankings Under Scrutiny," NEW YORK (Reuters) - Investment banks are in the midst of  the annual fight for bragging rights as the biggest dealmakers  of the year, but this time the rankings -- a key factor in  winning new business -- are under intense scrutiny."
2,Longhorns back on BCS bubble,"It has happened every year since the BCS was formed in 1998. One way or another, whether by blowing its chance or by another team not providing help, Texas finds itself at the Cotton or Holiday bowls."
3,Munder's Cook Keeps Eyes on Net," NEW YORK (Reuters) - About a decade ago, Paul Cook, a  technology officer at Munder Capital, spent so many late nights  at the office studying to become a certified financial analyst  that his wife suspected he was having an affair."
1,House Starts Process to Raise Debt Limit (Reuters),"Reuters - The U.S. House of Representatives on\Thursday prepared to raise the nation's debt ceiling by   800\billion, taking the new limit to   8.184 trillion."
2,Dodgers Lead Cardinals 1-0 After One,"Los Angeles Dodgers Shawn Green watches his home run in the sixth inning against the St. Louis Cardinals Saturday, Oct. 9, 2004, in Los Angeles."
1,"These Days, the College Bowl Is Filled With Milk and Cereal","Students these days are consuming breakfast cereal as if their grade-point averages depended on it - for breakfast, lunch, dinner and in between."
2,Pair of US squads advance to finals,"By just two ticks of the clock yesterday morning, the US rowing team squeezed two entries into this weekend's Olympic finals on an otherwise empty day."
3,U.S. Airways Pilots Say Labor Talks Break Down,"Talks between US Airways Group Inc. and the union representing pilots have broken down, the Air Line Pilots Association said Monday."
4,Elcoteq Focuses on Design to Tap Hefty Demand (Reuters),"Reuters - Elcoteq  is targeting\growth by strengthening its focus on design services to tap\surging demand in the mobile handset market, Europe's top\electronics manufacturing services firm said."
3, Siebel Systems Swings to 3Q Profit,Software maker Siebel Systems Inc. on Wednesday said its third-quarter results swung to a profit on improved licensing revenue. The company reported earnings of $19.
4,Reeves Says EBay May Cause Identity Theft ,"AP - Martha Reeves, former lead singer of Martha Reeves  amp; the Vandellas, says eBay left her open to identity theft by posting a contract on its Web site that showed her Social Security number and signature."
4,EA working on new CC Red Alert game,Electronic Arts has revealed that it's working on a new game in the Command  amp; Conquer: Red Alert series in an email sent to fan site operators by VP and executive producer Mark Skaggs.
3,Grumbling Over the Greenback,Financial markets and economic policymakers around the globe all were focused last week on the shrinking value of the dollar. The greenback fell to its lowest level in years against both the yen and the euro 
3,Becoming a player,"Modell's Sporting Goods planned to open stores in New England at some point. But a year ago, when one regional chain closed 14 stores and another faced bankruptcy, Mitchell Modell, the New York chain's chief executive, decided the timing was now."
1,Negotiations Seek End to IRA Threat,The British and Irish governments summoned rival Northern Ireland parties to a moat-surrounded castle Thursday in hopes of crafting a new peace deal for the British territory.
3,Freddie Mac Announces Changes in Division,Mortgage giant Freddie Mac announced Monday that it is shutting down some operations of its debt-securities sales division and transferring others - moves that experts said should tighten the company's internal controls after an accounting scandal.
2,Jets' Josh Evans Out With Back Injury ,AP - Jets defensive tackle Josh Evans is out for Sunday's game against the San Diego Chargers with a back injury.
3,"Highways, airports to be busy this week",Load up the kids and drive for hours. Fork out money for gas or plane tickets. Keep our cool in traffic jams and airport security lines.
4,Tri-Mode Wi-Fi Module from Intel,"Its short for wireless fidelity, and it is used to describe products that follow the 802.11 set of standards developed by the Institute of Electrical and Electronic Engineers (IEEE)."
1,Televangelist Said Tried to Hush Charges,"LOS ANGELES - The founder of the world's largest Christian broadcasting network has sought repeatedly to prevent a former male employee from going public with allegations of a sexual encounter between them eight years ago, a newspaper reported Sunday.    Paul Crouch, 70, president of the Trinity Broadcasting Network, reached a $425,000 settlement in 1998 with the former worker who threatened to sue over claims he had been unjustly fired from the network, the Los Angeles Times said..."
3,"Oil Down Nearly $8 in 8 Days, Funds Exit", LONDON (Reuters) - World oil prices fell sharply again on  Tuesday as Iraq restored oil exports and hedge funds continued  the rush to take profits from record highs.
1,Fresh bird flu hits Malaysia,"MALAYSIA announced today its second outbreak of deadly bird flu in three weeks, near a northern village close to the border with Thailand where the disease was first detected."
2,Black Blue Review: Week 10,"Randy Moss has burned the Packers over the years, but it doesnt look like hell be able to suit up Sunday, when the rivals meet at Lambeau Field for the division lead."
1,Afghan leader seeks to replace powerful governor,Afghan leader Hamid Karzai has effectively tried to sideline a powerful regional rival by promoting him to cabinet minister less than a month before presidential elections on Oct. 9. Ismail 
3,PeopleSoft board opens up to Oracle,"While it has so far rejected each of Oracle's takeover offers, PeopleSoft's board of directors is willing to talk about a deal at the right price, a member of PeopleSoft's board said on October 5. On the stand "
2,"MLB: Atlanta 3, Philadelphia 1","Andruw Jones 25th home run of the season helped the Atlanta Braves beat Philadelphia 3-1 Monday. Travis Smith, pitching in place of Mike Hampton, held the Phillies to one run, five "
2,"Mayfield in for Chase, Kahne out","Jeremy Mayfield last night earned a spot in NASCAR's new Chase for the Championship the old-fashioned way. Down to his last chance and with the pressure on, the former Fairgrounds "
2,"Mauresmo, Slew of Russians Into Quarters at Filderstadt","World No. 1 Amelie Mauresmo, looking to defend her shaky perch atop the WTA Rankings, moved into the quarterfinals Thursday at Filderstadt with a tough 7-5, 6-4 win over Swiss Patty  quot;Handshake quot; Schnyder."
3,SK Corp. faces legal challenge,"SEOUL Sovereign Asset Management, the largest shareholder of SK Corp., said Sunday that it would take legal action after directors of South Korea's biggest oil refiner refused a request for an extraordinary general meeting."
1,Sudanese Aid Workers Released by Rebels ,"AP - Rebels released six Sudanese aid workers early Wednesday in Darfur, four days after they went missing during a trip to register refugees fleeing a brutal campaign of killings in the war-ravaged region, a U.N. official said."
1,Jihad Will Boycott Palestinian Election,"GAZA CITY, 3 December 2004 - Islamic Jihad said yesterday it would boycott a Jan. 9 Palestinian presidential election for a successor to Yasser Arafat."
2,No. 21 Wisconsin Trounces Penn 77-44 ,AP - Mike Wilkinson scored all but two of his 19 points in the second half and Brian Butch had a memorable debut in No. 21 Wisconsin's 77-44 rout of Penn on Saturday night.
4,Here Comes the Sun (The Motley Fool),"The Motley Fool - No, the U.S. is not on the verge of a solar revolution, and sunshine won't provide the country with ""energy independence"" anytime soon. But solar power is gaining momentum, and based on current trends, that momentum will probably continue to build."
2,QB Tate to Lead Injured Hawkeyes Vs. PSU ,AP - No. 25 Iowa is having a hard time keeping its tailbacks healthy.
1,Second Sunni Cleric Gunned Down in Iraq," BAQUBA, Iraq (Reuters) - Gunmen killed a Sunni Muslim  cleric in the city of Miqdadiya Tuesday, the second such  killing in Iraq in as many days, witnesses and hospital  officials said."
4,Cassini Probe Discovers Tiny Saturnian Moons,"Two tiny moons orbiting Saturn -- each measuring around two miles in diameter -- are the latest discovery of the Cassini spacecraft. They are located between the orbits of moons Mimas and Enceladus, a surprise to scientists who thought such ..."
1,Yukos 'hit with fresh tax demand',"Russian authorities demand a further $1.2bn in back-taxes from stricken oil firm Yukos, the Interfax news agency reports."
1,Man. man appealing murder conviction to have bail hearing next month (Canadian Press),Canadian Press - WINNIPEG (CP) - A Manitoba man who says he was wrongfully convicted of murder will have a bail hearing next month.
2,NBA Wrap: James Inspires Cavs to 4th Straight Win," NEW YORK (Reuters) - LeBron James recorded 33 points to  guide the Cleveland Cavaliers to their fourth straight win, a  99-88 victory over the Golden State Warriors Monday."
2,Nuggets Sign White Despite Gun Charge ,"AP - The Denver Nuggets signed free agent forward Rodney White to a 2-year deal Tuesday, a day after a judge allowed him to leave Washington D.C. for the first time since his arrest last month on a gun charge."
2,Golf: O'Hern and Jacquelin Vie for Breakthrough Win," COLOGNE, Germany (Reuters) - Nick O'Hern and Raphael  Jacquelin made their latest bids to break their European Tour  ducks when they shared the early lead in the second round of  the German Masters Friday."
2,Red Bull Racing confirms David Coulthard to join team for testing ,"Red Bull Racing confirmed today that as part of the continued winter test programme, David Coulthard will join the team in Jerez (Spain) this week driving the 2004 car, the R5."
2,Sacked Chelsea striker Mutu banned 7 months,"November 5, 2004. Chelsea striker Adrian Mutu has been suspended for seven months and fined 20,000 following an FA disciplinary hearing into his failed drugs test."
3,Verizon adds shopping tools to SuperPages.com,Verizon SuperPages.com said Friday it has teamed up with eBay and Shopping.com for the rollout of new shopping tools on its online Yellow Pages site.
1,Expert warns of further landslips,An expert has warned that landslides such as those seen this week in Perthshire and north Cornwall are set to become more common. 
3,Sanofi Weight Loss Drug Effective in 2-Year Study (Reuters),"Reuters - An experimental Sanofi-Aventis diet\drug helped people lose much more weight than a placebo in an\eagerly anticipated two-year trial, researchers said on\Tuesday."
3,SEC may act against exchanges,The Securities and Exchange Commission is preparing enforcement actions against three US stock exchanges -- and possibly the head of one of them -- over charges that in-house regulators failed to adequately enforce their own rules 
1,"Kabul Bomb Death Toll Rises, Up to 12 Believed Dead",The toll from Sunday's car bomb blast in Kabul rose Monday with different accounts from Western security forces and Afghan officials suggesting as many as a dozen people may have been killed.
2,"Deng, Bulls wear down Bryant, get a home win","When Kobe Bryant scored 9 consecutive points early in the fourth quarter, it looked as though the Bulls had no hope of beating the Lakers on Wednesday night."
3,Sprint to cut 700 jobs as it trims back service,"Sprint Corp., the telecommunications giant, said yesterday it will cut 700 jobs in its business solutions division as it stops selling business long distance services outside of package deals."
2,"Catalanotto, Blue Jays agree to two-year deal","Outfielder Frank Catalanotto and the Toronto Blue Jays agreed Monday to a $5.4 million, two-year contract extension through 2006. Catalanotto will make $2."
4,JK gaffe costs Microsoft dear,"LONDON: It was a tiny software slip up - just eight pixels symbolising Jammu and Kashmir, which were coloured a different shade of green from the rest of India."
4,Hollywood lawsuits to strike Net pirates,"com November 4, 2004, 2:38 PM PT. This priority retains its ranking at number five as more and more companies deploy Web services to share business logic, data and processes with each other and with clients."
1,Americans Miss Cut in 100-Meter Freestyle,"ATHENS, Greece - Top American sprinters Jason Lezak and Ian Crocker missed the cut in the Olympic 100-meter freestyle preliminaries Tuesday, a stunning blow for a country that had always done well in the event.    Pieter van den Hoogenband of the Netherlands and Australian Ian Thorpe advanced to the evening semifinal a day after dueling teenager Michael Phelps in the 200 freestyle, won by Thorpe..."
2,Arsenal midfielder Edu suffers broken toe,"Arsenal midfielder Edu, who had just returned to the lineup after a calf injury, broke a toe in the Gunners 3-1 Carling Cup win over Everton on Tuesday."
1,Yemen sentences 15 militants on terror charges,"SANAA, YEMEN - A court in Yemen has sentenced one man to death and 14 others to prison terms of up to 10 years for a series of attacks on foreign targets."
1,Momentum Builds for U.S. Role in Paying Highest Health Costs,Politicians are pushing an idea to fight high health costs by shielding employers from the most expensive medical cases.
4,Oracle hopes for big splash with Tsunami,Database giant expected to launch content management competitor to products from IBM and Microsoft this year.
2,Erickson Staying in SF After Talks with Ole Miss," ASHBURN, Va. (Sports Network) - San Francisco 49ers head  coach Dennis Erickson will remain with the team after  discussing the head coaching vacancy at Ole Miss with school  officials on Tuesday."
1,Discontent in China boils into public protest,"When the local government announced it was going to confiscate their homes and businesses to make room for a new development, residents of this village in southeastern China fought back."
1,British police search for clues on the train crash that killed 7 (Canadian Press),Canadian Press - LONDON  - Police on Sunday searched the site of a train crash that killed seven people and seriously injured 11 for clues to what caused a car to be on the tracks as the high-speed train approached.
2,"Live on Sky Sports 2, 5pm (KO 5.15pm)","This is, in my opinion, one of the biggest games Manchester United have played for years. It may sound strange ahead of what is only the second game of the season, but don't think this is one they can afford to lose. "
3,Mass. job growth highest since ,Massachusetts bucked the national hiring slowdown in July as the state posted its biggest monthly job gains in nearly four years and manufacturing employment surged.
4,Antivirus companies warn of new Bagle variants,"New versions of the Bagle worm rolled onto the Internet Friday, prompting antivirus companies to warn customers about the threat and to push out software updates to spot the new worms."
4,HP to open research center in South Korea,"Over the next five years, the company will spend $40 million on its new lab, which will focus on the digital home."
4,Microsoft's answer to phishing: Two IDs,"Banks aren't moving fast enough on requiring online customers to provide two forms of ID, the company says."
2,Giants Place Bromell on Injured Reserve ,"AP - Lorenzo Bromell was placed on injured reserve by the New York Giants on Thursday, joining the team's growing list of defensive linemen whose season has been ended by injury."
3,HBOS calls for bank tie-up probe,HBOS asks the European Commission to look at Spanish bank BSCH's relationship with the Royal Bank of Scotland.
4,Water coursed through Martian hills,The twin rovers on Mars - now reviving having survived the freezing depths of Martian winter - have found new signs that water was once plentiful on Mars.
2,Gone too soon,"Ken Caminiti's power hitting, defensive acrobatics, and a rugged appeal that reached even nonbaseball fans made him one of San Diego's premier athletes, and helped lay groundwork for a $474 "
3,Oil Firm After 4 Percent Jump, SINGAPORE (Reuters) - Oil prices held firm on Friday after  leaping almost $2 a day earlier on news U.S. crude stocks sank  to a five-month low last week and distillate fuels barely grew  ahead of winter.
4,Macworld Expo Games Pavilion to feature new games (MacCentral),"MacCentral - IDG World Expo on Wednesday offered details about the Macintosh Games Pavilion, featured at next month's Macworld Conference  amp; Expo in San Francisco, Calif. The pavilion will feature new games from publishers including Aspyr Media, MacSoft, Freeverse Software and Ambrosia Software. It'll also be populated by an Arcade area where showgoers can get their hands on Power Mac G5s and iMac G5s running the latest titles available for the Macintosh."
1,Khatami: Iran Will Pursue Nuclear Program,"TEHRAN, Iran - President Mohammad Khatami said Tuesday that Iran will continue a nuclear program some suspect is aimed at developing weapons, even if that means an end to U.N. oversight..."
2,Clippers exercise option on Wilcox,"Los Angeles, CA (Sports Network) - The Los Angeles Clippers Monday exercised the contract option for the 2005-06 season on forward Chris Wilcox."
2,"Eagles open to rave reviews Owens, Westbrook and McNabb have ","PHILADELPHIA  For the Philadelphia Eagles, it was a case of in with the new, and also in with some of the old. For the New York Giants, it was more of what has become the same stale story."
4,Accord Set on Efficiency for Cooling,The combatants in a fight over how much electricity an air-conditioner should use have reached a truce that could eventually lead to savings for building owners.
1,Navy docks sub fleet,A military probe's secret findings on the fire that crippled HMCS Chicoutimi has propelled the navy to dock its four second-hand submarines indefinitely.
1,Interview: Minister says Sudan open to idea of autonomy in Darfur,Sudanese Foreign Minister Mustafa Osman Ismail said here on Monday that his government is open to the idea of granting some sort of autonomy to the western Darfur region where 
2,Case closes out Melrose in five,"Up two games to none and holding a 15-11 lead over Melrose in Game 3, Case seemed assured of making another trip to the Division 2 state volleyball finals."
3,DT Wants All of T-Online,"BONN, Germany -- On Saturday, Deutsche Telekom's Supervisory Board approved a merger plan by the Board of Management. One day later, T-Online's Supervisory Board consented to the offer of merger negotiations."
3,UK expansion helps lift Sonic profit,"Pathology and radiology group, Sonic Healthcare, has benefited from its expansion in the United Kingdom to achieve a 41 per cent jump in full-year profit to almost $58 million."
3,Mortgage Applications Ease in Aug 27 Week," NEW YORK (Reuters) - New applications for U.S. home loans  eased last week for the second week in a row even though  30-year mortgage interest rates decreased slightly, an industry  group said on Wednesday."
2,Former Chelsea Football Club star will return to football,Adrian Mutu has vowed to rebuild his career after being sacked by Chelsea Football Club and banned for seven months. Mutu received the worldwide ban from football after failing a routine drugs test.
2,Coyotes re-sign RW Johnson to three-year deal,"----------------------------------------------- GLENDALE, Arizona (Ticker) - Mike Johnson missed most of last season after undergoing shoulder surgery, but that didn't stop the Phoenix Coyotes from giving him the veteran right wing a three-year contra"
1,Venezuela Revels in Fireworks Celebrations ,"AP - Whistling rockets streak through the sky each night, and firecrackers still echo through the streets in Venezuela this holiday season despite a long-standing ban and a new effort by authorities to crack down on the tradition."
4,Cassini probe snaps Mimas,The Cassini space probe has taken a stunning image of Saturn's moon Mimas against the blue-grey backdrop of Saturn's rings.
2,"NFL extends contracts with CBS, Fox for $8b",CBS and Fox yesterday announced an $8 million rights extension with the National Football League that gives the networks the right to continue televising 
3,Wall Street treads water as traders await fresh direction,"US STOCKS were narrowly mixed yesterday as investors digested a jump in second-quarter gross domestic product, while keeping a close eye on falling oil prices."
4,Privacy experts shun black boxes in cars,Plus: Is Microsoft search engine crawling Google? News.com Extra
3,Crude Oil Little Changed After Gaining on Heating Oil Concern,Crude oil futures were little changed in New York after surging 5.4 percent on Nov. 19 on speculation falling temperatures in Europe will boost competition with the US for heating fuel.
4,"Sony to Open More Stores, Worrying Others ","AP - Few people took notice when Sony Electronics Inc. opened a tiny storefront last year here at South Coast Plaza, a swanky mall south of Los Angeles. As it turns out, the small store would represent a big change in how Sony sells its televisions, DVD players and other gear."
1,U.S. Seeks Help on N.Korea Talks; Pyongyang Says No, SEOUL (Reuters) - South Korea joined China on Tuesday in  pressuring Washington to give more concessions to entice North  Korea to resume talks on its nuclear programs but Secretary of  State Colin Powell rebuffed the appeals.
4,Likely First Photo of Planet Beyond the Solar System (SPACE.com),"SPACE.com - A group of European-led \  astronomers has made a photograph of what appears to be a planet orbiting another \  star. If so, it would be the first confirmed picture of a world beyond our solar \  system."
1,Official warns citizens to leave Iraq after abduction of child,"BEIRUT: The Lebanese charge d affaires in Iraq warned Lebanese expatriates in Iraq to take extreme cautions or leave the country entirely, following the kidnapping of a 7-year old Lebanese boy there."
4,Too Close to Call?,"The votes won't be counted for another four days, but that's not stopping mathematicians, online bettors and traditional pollsters from trying to predict a Bush or Kerry victory. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-washingtonpost.com&lt;/B&gt;&lt;/FONT&gt;"
1,Evidence of hostage murders discovered,Iraqi forces fighting alongside US troops in Fallujah yesterday claimed to have found the houses in which civilian hostages were held by militants and beheaded in front of a camera.
4,Government panel says cybersecurity mandates not needed,"Despite real threats and little sense of urgency by many company executives, now is not the time for the U.S. government to mandate cybersecurity standards to private industry, a panel of of government officials said."
4,What Price Privacy?,"Tucked away in this week's $388 billion spending bill is a rule that could put a privacy officer in every federal agency, no matter what its function. By Ryan Singel."
2,Steelers stop streak by stunning New England,"The Steelers got a bucket full of treats yesterday, including turnovers, early points, a poised quarterback and a dominating defensive performance."
3,Oil Rises as Hurricane Moves Toward Platforms in Gulf of Mexico,"Crude oil futures rose on concern Hurricane Ivan may disrupt production, refining and the arrival of shipments as it moves into the Gulf of Mexico, where a quarter of US oil and natural gas is pumped."
3,Forex: Dollar Falls After Fed Rate Hike, NEW YORK (Reuters) - The dollar extended its losses on  Tuesday after the Federal Reserve raised interest rates as  expected but signaled that both inflation and inflation  expectations were easing.
3,Health insurer to halt payments,MINNEAPOLIS -- A Minnesota health insurer says it won't pay the bill when doctors make serious mistakes -- apparently the first time an insurer has taken such a hard-line stand against medical errors.
4,Linux goes mainstream,"Sales of the open source operating system Linux will reach $35 billion by 2008, according to analysts at IDC, with $10 billion of that accounted for in desktops."
1,Black Watch troops back in Basra,"Britain's 850-strong Black Watch battle group has pulled out of Camp Dogwood in Iraq and returned to its base in Basra, the BBC reported Saturday."
4,Average techie starting salaries to remain stable,"IT professionals can expect a moderate increase in starting salary, a staffing firm says."
2,"Former Steelers, Maine player Strzelczyk dies after highway chase, crash","Justin Strzelczyk , a former player for the Pittsburgh Steelers and the University of Maine, died yesterday in a fiery head-on collision with a tanker truck in Herkimer, N.Y., after he led state troopers on a 40-mile highway chase during morning rush hour. Strzelczyk, 36, was an offensive lineman with the Steelers for nearly a decade until the team released ..."
2,Schumacher grabs top spot,"Michael Schumacher returned to top spot in Friday's first practice for the Italian Grand Prix at Monza. The Ferrari driver suffered a rare defeat two weeks ago in Belgium, although second place was enough to clinch a seventh world title."
4,"Report: IT Salaries Show Upward Trend, Outsourcing Overblown","The lid on IT salaries is beginning to lift, and IT specialists should see gains of as much as 10 to 15 percent over the next three years, according to a new IT staff salaries study by the META Group."
1,DRC FORCES ALERT AS CIVILIANS FLEE,"The Democratic Republic of Congo has placed it troops on alert and is deploying soldiers to the east of the country, after reports that Rwandan troops have infiltrated the area."
3,A Bright Money-Saving Idea,"WEST ORANGE, NJ-October 12, 2004 - If you're looking to do some home improvements, officials want you to see how you can save money too."
4,"Bee Decline May Spell End of Some Fruits, Vegetables","Bees, via pollination, are responsible for 15 to 30 percent of the U.S. food supply. But in the last 50 years the domesticated honeybee population has halved, scientists say."
2,Bourdais happy with podium.,"After an eventful Lexmark Indy 300 at Surfers Paradise, championship leader Sebastien Bourdais proclaimed himself happy with the runners-up spot after Newman Haas team-mate Bruno Junqueira claimed the race win."
1,John Howard sworn in for fourth time as Australian PM,CANBERRA : John Howard has been formally sworn in as Prime Minister with his new fourth term ministry by Queen Elizabeth II's Australian representative Governor-General Michael Jeffery.
3,Texas Instruments Narrows Its 4th-Qtr Sales Forecast ,"Texas Instruments Inc., the world's biggest maker of mobile-phone processors, narrowed its fourth- quarter sales forecast because industrial customers for its chips continue to reduce inventory."
1,Chile Group Plans Bush Welcome with War Crime Suit," SANTIAGO, Chile (Reuters) - Chileans opposed to the Iraq  war have accused President Bush of war crimes in a criminal  complaint lodged on Tuesday, less than a month before he is  scheduled to visit the country."
1,Egypt Prepares for Arafat's Funeral ,"AP - Egypt prepared Thursday for a strictly controlled military funeral for Yasser Arafat where dignitaries from around the world will pay their respects, but where the people  #151; among whom Arafat was by far more popular  #151; will be mostly shut out."
4,Administration Shifts On Global Warming,"A Bush administration report suggests that evidence of global warming has begun to affect animal and plant populations in visible ways, and that rising temperatures in North America are due in part to human activity."
3,"Vodafone, Optus agree on shared 3G network in Australia","The Australian mobile carrier units of Vodafone Group PLC and Singapore Telecommunications Ltd. have agreed to roll out a combined third-generation (3G) cellular network in the country, they said Friday."
2,"Griffin, Broncos on the run again","Quentin Griffin took off the middle, broke left to daylight and juked past a defender before racing into the end zone."
4,Vioxx: How Safe Is FDA Approval?,"The problems with Vioxx, taken off the market last week, raise questions about the Food and Drug Administration's safety review process. Observers say longer clinical trials should be required."
2,Campaign season lasting into December,"Is Saturday the end of a football season or Election Day? Between speculation about polls and appeals to voters, it's difficult to tell."
2,"Han Shoots Par, Leads Wendy's Championship ","AP - Hee-Won Han was back atop the leaderboard at the Wendy's Championship for Children. Han, the defending champion and 2002 runner-up, shot an even-par 72 in the third round Saturday to take a two-shot lead. The South Korean had earlier rounds of 66 and 70 at the rain-soaked and muddy Tartan Fields Golf Club and was at 8-under-par 208."
2,"A Door Swings Open, and the World Rambles In","Like a latter-day Ellis Island, the National Tennis Center bristled with overseas energy, overseas hopes, overseas dreams."
3,Colgate to Cut Jobs and Use Savings to Spur Sales,"Colgate-Palmolive said that it would close about a third of its factories and cut more than 4,400 jobs over the next four years."
4,AMD Announces Strategy To Hook Up World To Internet,Semiconductor supplier AMD announced Thursday (Oct. 28) it has launched an initiative to give 50 percent of the world's population Internet connectivity and computing capabilities 
